Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BON_B19-45_CHX_1	BON_B19-45_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	166506902.0	0.0	101.0	49.0	65.0487122230892	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B19-52_CHX_1	BON_B19-52_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	107617562.0	0.0	101.0	49.0	68.6583971361375	101.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	pass	pass
BON_B19-54_CHX_1	BON_B19-54_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	172014609.0	0.0	101.0	49.0	65.1874932699236	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B19-59_CHX_1	BON_B19-59_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	180595741.0	0.0	101.0	50.0	66.10043975448721	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B20_36_CHX_1	BON_B20_36_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	128886112.0	0.0	101.0	49.0	66.073283250037	101.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
BON_FC2_CHX-_1	BON_FC2_CHX-_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	262721385.0	0.0	101.0	52.0	54.85082809393862	101.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
BON_FC2_CHX_1	BON_FC2_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	410090175.0	0.0	101.0	50.0	53.96280907537228	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
BON_UC355_CHX_1	BON_UC355_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	187553489.0	0.0	101.0	51.0	61.902151981217244	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
BON_UC522_1	BON_UC522_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	143081790.0	0.0	101.0	48.0	62.098059359122146	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
HK-006	HK-006.bam	Conventional base calls	Sanger / Illumina 1.9	247971498.0	0.0	101.0	48.0	49.386240964815755	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
HK-010	HK-010.bam	Conventional base calls	Sanger / Illumina 1.9	204865809.0	0.0	101.0	48.0	54.715039773268295	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
HK-015	HK-015.bam	Conventional base calls	Sanger / Illumina 1.9	212834872.0	0.0	101.0	49.0	53.75777608127652	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
HK-022	HK-022.bam	Conventional base calls	Sanger / Illumina 1.9	230520621.0	0.0	101.0	47.0	52.686579323387114	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
HK-025	HK-025.bam	Conventional base calls	Sanger / Illumina 1.9	268515148.0	0.0	101.0	48.0	36.93535467504412	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
