Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
BON_B12-76-1_2	41249922.0	202.0	37637394.0	91.24	198.65	25254544.0	25254317.0	25022291.0	206257.0	18283.0	7713.0	0.44	0.01	1.52	0.01	1.49	1913717.0	4.64	2581.0	0.01	0.45	3.13	0.05	210276	1462590	23364
BON_B13-55_1_2	101774809.0	202.0	93822039.0	92.19	199.81	66748463.0	66747877.0	66022264.0	631468.0	67774.0	26957.0	0.4	0.01	1.58	0.0	1.51	6118493.0	6.01	5953.0	0.01	0.17	1.06	0.06	240942	1502344	85038
BON_B14-163-1_2	32566840.0	202.0	30740584.0	94.39	199.42	21113354.0	21113123.0	20895113.0	203578.0	8585.0	6078.0	0.31	0.01	1.48	0.01	1.5	1451557.0	4.46	2143.0	0.01	0.08	0.48	0.06	48072	288430	36054
BON_B14-20_1	25157555.0	202.0	22714618.0	90.29	197.26	14371121.0	14370999.0	14236044.0	124023.0	7379.0	3675.0	1.03	0.01	1.52	0.0	1.45	1443424.0	5.74	1005.0	0.0	0.76	2.11	0.05	259886	721525	17098
BON_B14-51_1_2	52460776.0	202.0	49288542.0	93.95	199.81	42898389.0	42898219.0	42545883.0	309223.0	30592.0	12691.0	0.45	0.01	2.12	0.0	1.6	2552976.0	4.87	2798.0	0.01	0.09	0.49	0.05	88066	479469	48925
BON_B14-60-1_2	47483970.0	202.0	44623939.0	93.98	197.93	30566405.0	30566074.0	30284436.0	254299.0	19576.0	8094.0	0.43	0.01	1.55	0.01	1.5	2232894.0	4.7	3548.0	0.01	0.09	0.55	0.06	80176	489963	53450
BON_B14-71-2_1	29632388.0	202.0	27196978.0	91.78	197.46	16458037.0	16457758.0	16316249.0	125798.0	10985.0	5005.0	0.95	0.01	1.63	0.01	1.48	1325841.0	4.47	2849.0	0.01	0.71	1.96	0.05	288886	797489	20344
BON_B14-75-1_1	28750906.0	202.0	26226573.0	91.22	197.44	17999325.0	17999177.0	17868845.0	115262.0	10069.0	5149.0	0.94	0.01	1.84	0.01	1.53	1472328.0	5.12	3127.0	0.01	0.71	2.04	0.06	265019	761463	22396
BON_B15-118_1	42822622.0	202.0	40547339.0	94.69	199.59	28216564.0	28216328.0	27902177.0	294461.0	12243.0	7683.0	0.32	0.01	1.53	0.01	1.48	1919999.0	4.48	2370.0	0.01	0.06	0.32	0.06	48125	256665	48125
BON_B15-125_1_2	74687485.0	202.0	69659388.0	93.27	199.81	59493608.0	59493440.0	58923620.0	505598.0	42796.0	21594.0	0.42	0.01	2.12	0.0	1.48	3818459.0	5.11	5223.0	0.01	0.09	0.55	0.06	154853	946326	103236
BON_B15-26_1_1	51557695.0	202.0	49019979.0	95.08	199.95	41665791.0	41665639.0	41344221.0	281262.0	27353.0	12955.0	0.42	0.01	1.86	0.0	1.51	2027049.0	3.93	2986.0	0.01	0.08	0.45	0.06	68838	387214	51629
BON_B15-76-2_2	44799047.0	202.0	42258333.0	94.33	199.69	29725801.0	29725525.0	29449298.0	246675.0	21421.0	8407.0	0.31	0.01	1.59	0.01	1.5	1962679.0	4.38	3061.0	0.01	0.11	0.66	0.06	76201	457208	41564
BON_B15-95_CHX_1	78710329.0	202.0	73084079.0	92.85	200.06	56023485.0	56022905.0	55515635.0	450920.0	40605.0	16325.0	0.5	0.01	1.95	0.01	1.61	4989383.0	6.34	17120.0	0.02	0.02	0.21	0.08	39984	419829	159935
BON_B15-98_1_2	58806994.0	202.0	54660321.0	92.95	199.81	48144323.0	48144133.0	47771462.0	329688.0	29869.0	13304.0	0.42	0.01	1.9	0.0	1.62	3052951.0	5.19	2913.0	0.0	0.08	0.51	0.05	136351	869238	85219
BON_B16-19_1	29199306.0	202.0	25648886.0	87.84	197.49	18344052.0	18343876.0	18197149.0	136314.0	6569.0	4020.0	0.94	0.01	1.63	0.0	1.46	1653428.0	5.66	1714.0	0.01	0.77	4.74	0.07	261535	1609967	23776
BON_B16-22_1	27370014.0	202.0	25240456.0	92.22	198.02	19612620.0	19612418.0	19440221.0	160276.0	7533.0	4590.0	0.86	0.01	1.71	0.0	1.46	1229718.0	4.49	1913.0	0.01	0.59	1.56	0.1	235456	622563	39908
BON_B16-38	46393269.0	202.0	42245316.0	91.06	200.08	35204678.0	35204349.0	34854071.0	317632.0	14369.0	18606.0	0.19	0.01	1.52	0.0	1.59	2501567.0	5.39	3124.0	0.01	0.12	1.3	0.07	132343	1433719	77200
BON_B16-50_1_2	50429691.0	202.0	46251067.0	91.71	199.78	42717561.0	42717423.0	42406781.0	272869.0	26734.0	11177.0	0.46	0.01	2.03	0.0	1.66	3484822.0	6.91	6332.0	0.01	0.09	0.53	0.05	92347	543820	51304
BON_B16-53-1_1	102971937.0	202.0	90116446.0	87.52	199.15	31684706.0	31684155.0	31342568.0	315533.0	18211.0	8394.0	0.39	0.01	1.23	0.0	1.46	9589951.0	9.31	6252.0	0.01	0.18	2.22	0.04	240439	2965418	53431
BON_B16-57_1_2	40729688.0	202.0	37991985.0	93.28	199.61	32175087.0	32174980.0	31929608.0	213833.0	22131.0	9515.0	0.5	0.01	2.09	0.0	1.65	2087161.0	5.12	2514.0	0.01	0.1	0.63	0.05	83081	523407	41540
BON_B16-75-1_2	43598970.0	202.0	41194961.0	94.49	200.0	28855504.0	28855277.0	28577740.0	253386.0	16561.0	7817.0	0.29	0.01	1.58	0.01	1.45	1994150.0	4.57	2475.0	0.01	0.06	0.38	0.04	50923	322512	33949
BON_B16_30_1_1	85157785.0	202.0	77896207.0	91.47	199.15	62282610.0	62282255.0	61860856.0	391755.0	21037.0	8962.0	0.44	0.01	1.35	0.0	1.63	4723618.0	5.55	3412.0	0.0	0.19	1.83	0.06	231521	2229915	73112
BON_B16_80_1_1	62582178.0	202.0	57065914.0	91.19	199.39	35711235.0	35711049.0	35458947.0	231283.0	14787.0	6218.0	0.4	0.01	1.39	0.0	1.47	4116990.0	6.58	2207.0	0.0	0.15	0.93	0.05	185451	1149799	61817
