Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
MBRU030_2	31893247.0	1262341.0	1252.0	19758.0	263438.0	26344.0
MCOP008_001_2	35806710.0	1706256.0	807.0	23291.0	442527.0	38818.0
MESP014_2	30594885.0	2564196.0	2856.0	21025.0	364433.0	28033.0
MESP021_001_2	36363614.0	1531679.0	988.0	24634.0	394144.0	30793.0
MESP039_2	51163131.0	2289030.0	1629.0	82754.0	579276.0	35466.0
MGLA003_001_2	34993461.0	1789479.0	922.0	23004.0	460084.0	30672.0
MMAD002_001_2	28145315.0	1232449.0	763.0	51006.0	368378.0	22669.0
MTEH041_001_2	37295171.0	1539841.0	2017.0	19681.0	718363.0	19681.0
MUN_FAM1_CTRL_01	44410106.0	2646034.0	2578.0	38017.0	1064471.0	190084.0
MUN_FAM1_CTRL_02	24312084.0	1887455.0	5514.0	4537.0	558030.0	22684.0
MUN_FAM1_CTRL_03	36566571.0	1753423.0	1650.0	13749.0	783671.0	96240.0
MUN_FAM1_CTRL_04	34251595.0	3955554.0	9955.0	8120.0	641508.0	32481.0
MUN_FAM2_TOTALMDC1A1_02	50040317.0	2550874.0	4346.0	23706.0	936390.0	71118.0
MUN_FAM2_TOTALMDC1A1_03	41027811.0	4194855.0	12059.0	12399.0	917500.0	49595.0
MUN_FAM2_TOTALMDC1A1_04	11758513.0	506472.0	1310.0	2968.0	459997.0	8903.0
MUN_FAM2_TOTALMDC1A1_05	39946028.0	2001261.0	1936.0	11495.0	689689.0	68969.0
MUN_FAM3_PARTIALMDC1A1_01	129908861.0	6187333.0	8411.0	23240.0	1859208.0	185921.0
MUN_FAM3_PARTIALMDC1A1_02	19578742.0	973562.0	1067.0	3193.0	440602.0	19157.0
MUN_FAM3_PARTIALMDC1A1_03	35859079.0	1642750.0	3968.0	8844.0	902137.0	61911.0
MUN_FAM3_PARTIALMDC1A1_05	11529253.0	818710.0	500.0	4238.0	613134.0	7064.0
MUN_FAM4_ATYPICALMDC1A_01_R1	32135621.0	1464133.0	2468.0	11903.0	618973.0	95227.0
MUN_FAM4_ATYPICALMDC1A_01_R2	106831044.0	8636963.0	29880.0	23353.0	1704768.0	140118.0
MUN_FAM4_ATYPICALMDC1A_01_R3	40305337.0	2723269.0	4859.0	11357.0	806359.0	56786.0
MUN_FAM5_SIBLINGMDC1A_01_R1	31171165.0	1645747.0	2419.0	21711.0	662188.0	65133.0
MUN_FAM5_SIBLINGMDC1A_01_R2	32149666.0	1503223.0	2244.0	11993.0	575650.0	71956.0
MUN_FAM5_SIBLINGMDC1A_01_R3	31856404.0	1754368.0	2955.0	9562.0	1505984.0	28685.0
M_0146-01-H1	61799773.0	6056721.0	8804.0	486579.0	1822458.0	17694.0
NH11-441	45875913.0	2842844.0	4421.0	29458.0	544970.0	44187.0
NH12-1413	47674564.0	3263379.0	6511.0	29197.0	510956.0	58395.0
NH12-843_Fibroblasts	21446863.0	1721016.0	1697.0	15286.0	147761.0	20381.0
